日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2020-11-18,超级推荐,nan,384520,1959,0.5094663476542183,57,0.1531393568147014,1.658481212657328,3,6487.0,3911.4100000000003,0,1,0,0,3.326815250182045,3911.4100000000003,0.005094663476542183,0.02909647779479326,19.0
2020-11-19,超级推荐,nan,331094,1652,0.4989519592623243,52,0.18159806295399517,0.5591131642278221,3,1617.0,2892.0800000000004,0,1,0,0,2.7475621223378655,2892.0800000000004,0.0049895195926232426,0.031476997578692496,17.333333333333332
2020-11-20,超级推荐,nan,237326,1143,0.4816160049889182,44,0.5249343832020997,4.1840715636822186,6,8494.0,2030.0800000000004,0,1,0,0,0.9174784895038892,2030.0800000000004,0.004816160049889182,0.03849518810148731,7.333333333333333
2020-11-21,超级推荐,nan,251709,1384,0.5498412849759047,61,0.5057803468208093,2.6199769290330734,7,6632.0,2531.32,0,1,0,0,1.08711476915236,2531.32,0.005498412849759047,0.04407514450867052,8.714285714285714
2020-11-22,超级推荐,nan,260812,1481,0.5678419704614819,68,0.4726536124240378,4.006144278140982,7,10693.0,2669.1499999999996,0,1,0,0,1.2013913689335067,2669.149999999999,0.005678419704614818,0.04591492234976367,9.714285714285714
2020-11-23,超级推荐,nan,115357,723,0.6267500021671853,30,0.8298755186721992,3.160713582483362,6,4013.0,1269.6499999999999,0,1,0,0,0.7552337526114583,1269.6499999999999,0.006267500021671853,0.04149377593360996,5.0
2020-11-24,超级推荐,nan,25344,243,0.9588068181818182,15,0.0,0.0,0,0.0,303.16,0,1,0,0,0.0,0.0,0.009588068181818182,0.06172839506172839,0.0
2020-11-25,超级推荐,nan,33068,327,0.9888714164751421,16,1.2232415902140672,17.024738755688897,4,6696.0,393.31,0,1,0,0,0.8084023829684287,393.31,0.00988871416475142,0.04892966360856269,4.0
2020-11-26,超级推荐,nan,20673,154,0.7449330044018768,6,0.0,0.0,0,0.0,200.0,0,1,0,0,0.0,0.0,0.007449330044018768,0.03896103896103896,0.0
2020-11-27,超级推荐,nan,27741,157,0.5659493168955697,5,0.6369426751592357,2.995,1,599.0,200.0,0,1,0,0,0.8885404275260443,200.0,0.005659493168955697,0.03184713375796178,5.0
2020-11-28,超级推荐,nan,26918,182,0.6761274983282561,8,1.098901098901099,6.929499543193584,2,1365.25,197.02,0,1,0,0,0.615276023478713,197.02,0.0067612749832825616,0.04395604395604396,4.0
2020-11-29,超级推荐,nan,20877,170,0.8142932413660967,10,0.5882352941176471,2.967553405884724,1,589.0,198.48,0,1,0,0,1.3842985103223644,198.48,0.008142932413660967,0.058823529411764705,10.0
2020-11-30,超级推荐,nan,8485,54,0.6364172068355922,1,0.0,0.0,0,0.0,68.14,0,1,0,0,0.0,0.0,0.006364172068355922,0.018518518518518517,0.0
2020-12-01,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-02,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
